Keuwl Accelerometer Data File
2021-04-04 11-07-14

Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg)
0.5905151,-0.555511,6.340057,6.277237,8.939162,45.394806,95.007431
0.5945435,-0.574677,6.399918,6.344284,9.029902,45.365143,95.131081
0.5986023,-0.617767,6.452591,6.384979,9.098655,45.432442,95.468796
0.6026306,-0.670441,6.474136,6.408920,9.134451,45.442818,95.912292
0.6066895,-0.742264,6.490891,6.428070,9.165298,45.464691,96.523705
0.6107177,-0.826065,6.510040,6.480743,9.222962,45.358002,97.231667
0.6147766,-0.931412,6.531586,6.578918,9.317259,45.081501,98.115730
0.6188049,-1.041534,6.555542,6.744110,9.462713,44.544682,99.027611
0.6228637,-1.144485,6.572296,6.981140,9.656151,43.699482,99.878311
0.6268921,-1.218719,6.605820,7.244507,9.879525,42.837509,100.453064
0.6309509,-1.268997,6.636932,7.541382,10.125792,41.860683,100.824440
0.6349792,-1.264206,6.701584,7.845444,10.395211,40.999344,100.682899
0.6390381,-1.201950,6.780594,8.132751,10.656584,40.255817,100.052017
0.6430664,-1.098999,6.878754,8.379349,10.896722,39.737724,99.077271
0.6471252,-0.938583,7.008041,8.542160,11.088827,39.615627,97.628204
0.6511535,-0.759018,7.156479,8.623566,11.231972,39.845985,96.054169
0.6552124,-0.584244,7.302521,8.621170,11.313387,40.356281,94.574249
0.6592407,-0.416656,7.441391,8.568497,11.356365,41.017380,93.204742
0.6632996,-0.249054,7.573074,8.470337,11.364862,41.814335,91.883591
0.6673279,-0.086258,7.692780,8.357803,11.359541,42.629215,90.642418
0.6713867,0.076553,7.790939,8.238098,11.338909,43.403427,89.437035
0.6754456,0.224991,7.869949,8.139938,11.324546,44.045559,88.362442
0.6794738,0.368637,7.932205,8.048950,11.306696,44.612350,87.339180
0.6835327,0.485962,7.984879,7.969940,11.292227,45.106606,86.517258
0.6875610,0.596100,8.039948,7.910095,11.294498,45.544956,85.759720
0.6916199,0.699051,8.116562,7.852631,11.315081,46.052666,85.077461
0.6956482,0.773270,8.200348,7.811920,11.352081,46.516258,84.613098
0.6997070,0.818756,8.286545,7.785583,11.399671,46.924175,84.357178
0.7037354,0.833115,8.353577,7.759247,11.431632,47.253780,84.304642
0.7077941,0.828323,8.423019,7.754471,11.478902,47.503811,84.383568
0.7118225,0.768478,8.470901,7.771225,11.521227,47.583607,84.816330
0.7158813,0.689468,8.499634,7.797562,11.555133,47.560318,85.362465
0.7199097,0.591309,8.521179,7.852631,11.602756,47.406681,86.030449
0.7239685,0.459625,8.552307,7.965149,11.696017,47.077087,86.923721
0.7279968,0.306396,8.588211,8.139938,11.836801,46.553211,87.956757
0.7320557,0.134018,8.619339,8.367386,12.013497,45.853230,89.109207
0.7360839,-0.040771,8.636093,8.628342,12.207868,45.026043,90.270493
0.7401428,-0.172440,8.616943,8.882141,12.376344,44.137486,91.146431
0.7441711,-0.253845,8.571457,9.097610,12.502033,43.306873,91.696327
0.7482299,-0.251450,8.499634,9.253235,12.566995,42.581768,91.694519
0.7522583,-0.170059,8.403854,9.337036,12.563198,41.994816,91.159271
0.7563171,-0.021606,8.305695,9.394501,12.539604,41.480049,90.149048
0.7603455,0.174713,8.248230,9.456741,12.549652,41.101505,88.786545
