Keuwl Accelerometer Data File
2021-04-09 15-36-29

Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg)
0.3010383,0.039676,0.580615,0.354077,-0.023482,0.359440,16.158028
0.3030396,0.039676,0.580615,0.354077,-0.023482,0.359440,16.158028
0.3050410,0.097139,0.592587,0.193661,-0.161899,0.833235,15.416313
0.3070428,0.109110,0.633289,0.026061,-0.292088,1.497353,15.254433
0.3090441,0.097139,0.662021,-0.069710,-0.363153,1.915348,15.399857
0.3110457,0.027705,0.733849,-0.357022,-0.579659,3.136864,16.246376
0.3130492,0.027705,0.733849,-0.357022,-0.579659,3.136864,16.246376
0.3150505,0.010945,0.745820,-0.407302,-0.617260,3.354652,16.449097
0.3170519,-0.022575,0.774551,-0.481524,-0.666761,3.740856,16.848671
0.3190504,-0.029758,0.796100,-0.519834,-0.688961,3.975552,16.925087
0.3210515,-0.012998,0.834408,-0.558142,-0.703038,4.294992,16.700462
0.3230529,-0.015392,0.843986,-0.574902,-0.712551,4.399099,16.724709
0.3250542,0.001368,0.891871,-0.579690,-0.692538,4.664621,16.499557
0.3270555,0.015734,0.903842,-0.572507,-0.680496,4.702427,16.322052
0.3290569,0.063619,0.925391,-0.546170,-0.647560,4.725311,15.741852
0.3310577,0.109110,0.932574,-0.517439,-0.619681,4.667875,15.197563
0.3330590,0.133053,0.932574,-0.503074,-0.607505,4.621214,14.912125
0.3350605,0.176150,0.946939,-0.469554,-0.571480,4.590441,14.398109
0.3370612,0.209670,0.937362,-0.416880,-0.531038,4.377403,13.998955
0.3390629,0.228824,0.934968,-0.383360,-0.503309,4.262569,13.770531
0.3410628,0.247978,0.913419,-0.266040,-0.412706,3.796120,13.538696
0.3430642,0.255161,0.913419,-0.234915,-0.385691,3.703680,13.452728
0.3450655,0.252767,0.901448,-0.206183,-0.366749,3.556232,13.479225
0.3470668,0.291075,0.853562,-0.115201,-0.310811,3.046032,13.006271
0.3490677,0.303047,0.820043,-0.005064,-0.230623,2.559301,12.850662
0.3510692,0.291075,0.769763,0.083524,-0.176939,2.051006,12.982178
0.3530706,0.283892,0.748214,0.133803,-0.142848,1.800938,13.064857
0.3550719,0.276710,0.676386,0.275066,-0.051112,1.051336,13.135139
0.3570731,0.274315,0.640472,0.332528,-0.016345,0.716148,13.155922
0.3590744,0.288681,0.561461,0.428300,0.034037,0.066635,12.949287
0.3610759,0.303047,0.501604,0.524071,0.094020,-0.477806,12.742210
0.3630773,0.303047,0.456113,0.555196,0.102450,-0.787382,12.725418
0.3650786,0.247978,0.334005,0.576745,0.069678,-1.474955,13.428185
0.3670795,0.247978,0.231051,0.579139,0.029203,-2.015827,13.405281
0.3690808,0.315018,0.211897,0.583927,0.026411,-2.118458,12.461105
0.3710827,0.492194,0.190348,0.610265,0.045638,-2.241709,9.960556
0.3730823,0.492194,0.190348,0.610265,0.045638,-2.241709,9.960556
0.3750837,0.520926,0.175983,0.607870,0.038569,-2.298950,9.541092
0.3770851,0.540080,0.132886,0.605475,0.019709,-2.509573,9.217789
0.3790863,0.532897,0.116126,0.598293,0.006171,-2.584045,9.298737
0.3810880,0.528108,0.101760,0.567167,-0.028249,-2.589872,9.349106
0.3830893,0.532897,0.082606,0.562379,-0.040104,-2.677336,9.256226
0.3850906,0.542474,0.073029,0.552802,-0.052349,-2.701164,9.106010
0.3870917,0.554446,0.063452,0.548014,-0.060101,-2.734747,8.920593
0.3890930,0.602331,0.044298,0.488156,-0.120666,-2.671976,8.200951
0.3910943,0.647822,0.032326,0.454637,-0.154092,-2.630011,7.523346
0.3930956,0.662188,0.032326,0.440271,-0.166561,-2.587189,7.315636
0.3950967,0.698102,0.017961,0.366049,-0.238419,-2.464371,6.769638
0.3970981,0.724439,0.010778,0.287037,-0.312124,-2.295002,6.374352
0.3990991,0.757959,-0.015559,0.263095,-0.342628,-2.352812,5.833031
0.4011002,0.813027,-0.010771,0.150563,-0.439997,-2.006552,5.045990
0.4031015,0.829787,-0.015559,0.150563,-0.440808,-2.017385,4.792374
0.4051033,0.841758,-0.017954,0.097890,-0.488974,-1.888987,4.613609
0.4071046,0.836970,-0.017954,0.021273,-0.559065,-1.701447,4.682762
0.4091067,0.820210,-0.020348,0.006907,-0.574267,-1.693607,4.919289
0.4111079,0.844153,-0.010771,-0.024219,-0.596975,-1.540110,4.596848
0.4131093,0.853730,-0.008376,-0.029007,-0.599658,-1.505745,4.464890
0.4151106,0.860913,-0.005982,-0.017035,-0.587279,-1.516356,4.367615
0.4171117,0.865701,0.025143,-0.031402,-0.587107,-1.305258,4.377380
0.4191155,0.872884,0.027538,-0.017035,-0.572557,-1.322195,4.281044
0.4211168,0.894432,0.010778,0.006907,-0.556149,-1.453329,3.930687
0.4231182,0.882461,0.015566,0.016484,-0.546377,-1.463545,4.113976
0.4251195,0.846547,-0.017954,0.038033,-0.543144,-1.734753,4.544479
0.4271209,0.827393,-0.034714,0.064370,-0.527315,-1.909813,4.780357
0.4291222,0.796267,-0.073022,0.114650,-0.498956,-2.270983,5.142517
0.4311230,0.789084,-0.135273,0.296615,-0.357183,-3.051464,5.099236
0.4331241,0.789084,-0.135273,0.296615,-0.357183,-3.051464,5.099236
0.4351254,0.791479,-0.168793,0.334923,-0.334723,-3.319523,4.980995
0.4371267,0.813027,-0.223861,0.404357,-0.290216,-3.755489,4.513466
0.4391284,0.832181,-0.240621,0.445060,-0.257601,-3.918934,4.175995
0.4411297,0.844153,-0.295689,0.607870,-0.126104,-4.558094,3.837349
0.4431311,0.851336,-0.322026,0.646178,-0.099504,-4.772503,3.649239
0.4451324,0.856124,-0.345969,0.684487,-0.072061,-4.975296,3.503273
0.4471348,0.851336,-0.401037,0.737161,-0.042645,-5.380795,3.411697
0.4491361,0.832181,-0.439346,0.773075,-0.023617,-5.676052,3.600960
0.4511377,0.817816,-0.477654,0.799412,-0.012992,-5.946148,3.716652
0.4531391,0.810633,-0.494414,0.808990,-0.010155,-6.061144,3.782837
0.4551404,0.803450,-0.511174,0.804201,-0.020770,-6.147720,3.849709
0.4571418,0.803450,-0.520751,0.780258,-0.046491,-6.151333,3.820404
0.4591428,0.808239,-0.530328,0.768287,-0.060663,-6.173903,3.711617
0.4611478,0.836970,-0.580608,0.765892,-0.077883,-6.407803,3.071327
0.4631491,0.860913,-0.628494,0.768287,-0.089827,-6.642078,2.503685
0.4651506,0.935135,-0.712293,0.732372,-0.145506,-6.931730,0.919350
0.4671520,0.992598,-0.760179,0.718007,-0.169782,-7.083410,-0.274307
0.4691532,1.011752,-0.779333,0.701247,-0.190077,-7.126526,-0.692307
0.4711545,1.088369,-0.858344,0.677304,-0.230600,-7.386002,-2.412323
0.4731559,1.107523,-0.872710,0.672516,-0.237763,-7.422293,-2.822571
0.4751572,1.124283,-0.891864,0.665333,-0.248838,-7.482691,-3.219612
0.4771588,1.136254,-0.891864,0.650967,-0.261271,-7.435183,-3.428528
0.4791577,1.133860,-0.887075,0.636601,-0.273634,-7.386467,-3.360130
0.4811588,1.141043,-0.906229,0.619842,-0.294669,-7.444241,-3.592888
0.4831601,1.150620,-0.915807,0.605475,-0.310247,-7.451296,-3.814957
0.4851614,1.145831,-0.920595,0.591110,-0.325792,-7.457802,-3.758537
0.4871625,1.145831,-0.942144,0.586322,-0.336896,-7.563826,-3.882858
0.4891638,1.143437,-0.982846,0.605475,-0.331255,-7.821831,-4.079521
0.4911652,1.153014,-1.021155,0.615053,-0.332600,-8.027124,-4.482544
0.4931665,1.153014,-1.021155,0.615053,-0.332600,-8.027124,-4.482544
0.4951679,1.143437,-1.042703,0.607870,-0.346736,-8.146479,-4.442062
0.4971692,1.157803,-1.049886,0.631813,-0.324633,-8.202606,-4.747299
0.4991705,1.169774,-1.047492,0.629418,-0.324990,-8.163239,-4.948860
0.5011718,1.241602,-1.011578,0.655756,-0.281812,-7.884922,-5.999123
0.5031732,1.272728,-1.011578,0.662938,-0.271544,-7.836876,-6.545166
0.5051745,1.289488,-0.997212,0.674910,-0.254048,-7.750595,-6.741066
0.5071758,1.294276,-0.963692,0.706036,-0.214044,-7.624775,-6.601463
0.5091772,1.299065,-0.951721,0.725189,-0.191776,-7.589012,-6.605003
0.5111784,1.311036,-0.925384,0.753921,-0.155308,-7.482979,-6.637047
0.5131797,1.320613,-0.908624,0.775470,-0.128765,-7.418171,-6.690117
0.5151875,1.358922,-0.889470,0.813778,-0.082250,-7.315643,-7.206070
0.5171919,1.370893,-0.894258,0.832932,-0.064137,-7.351667,-7.436394
0.5191939,1.409202,-0.887075,0.873634,-0.018811,-7.312819,-8.020462
0.5211938,1.418779,-0.887075,0.883212,-0.008566,-7.310785,-8.177467
0.5231951,1.423567,-0.882287,0.888000,-0.002007,-7.285704,-8.223282
0.5251966,1.433144,-0.870315,0.916732,0.029952,-7.259319,-8.298141
0.5271980,1.447510,-0.865527,0.921520,0.037724,-7.214289,-8.498589
0.5291986,1.452299,-0.848767,0.926309,0.047898,-7.129721,-8.462036
0.5311999,1.430750,-0.822430,0.943069,0.068995,-7.074434,-7.939354
0.5332013,1.416384,-0.810458,0.933492,0.061815,-7.025894,-7.629944
0.5352027,1.387653,-0.769756,0.907154,0.045965,-6.829283,-6.909317
0.5372040,1.334979,-0.731447,0.856874,0.004306,-6.640347,-5.831039
0.5392054,1.306248,-0.714688,0.832932,-0.016237,-6.561787,-5.271347
0.5412068,1.241602,-0.678773,0.763498,-0.077210,-6.356216,-4.029312
0.5432081,1.200900,-0.657225,0.732372,-0.103773,-6.251596,-3.257858
0.5452095,1.162591,-0.628494,0.708429,-0.120748,-6.116106,-2.493736
0.5472115,1.102734,-0.563848,0.646178,-0.163395,-5.742485,-1.225677
0.5492129,1.033301,-0.499203,0.607870,-0.183499,-5.419413,0.161514
0.5512141,0.923164,-0.341181,0.543224,-0.197001,-4.577806,2.472107
0.5532156,0.923164,-0.341181,0.543224,-0.197001,-4.577806,2.472107
